"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$313.1^Billion^","2024","13.1%",NA,NA,"1.2%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$5.2^Billion^","2025-04","7.5%","-1.9%^M/M^","RED","-1.7%^Y/Y^","RED"
"4","Exports ^Monthly^","$4.2^Billion^","2025-04","7.6%","-18.8%^M/M^","RED","-6.7%^Y/Y^","RED"
"5","Active businesses^Total number^","156 K","2025-02","16.6%","0.1%^M/M^","GREEN","-0.1%^Y/Y^","RED"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","3^Million jobs^","2025-05","14.1%","0.4%^M/M^","GREEN","1.2%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","6.4%","2025-05","7%^in Canada^","0.2 p.p.^M/M^","RED","0.8 p.p.^Y/Y^","RED"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","84%","2025-05","83.1%^in Canada^","0.1 p.p.^M/M^","GREEN","0.5 p.p.^Y/Y^","GREEN"
"10","Job vacancies ^Number of unfilled positions^","88 K^3.5 % of payroll employees^","2025-03","16.7%","3.9%^M/M^","RED","-9.1%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1629","2025-05","$1562^in Canada^","-0.6%^M/M^","RED","1%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","2%^Y/Y^","2025-04","1.7%^in Canada^","0%^M/M^","YELLOW",NA,NA
"13","New immigrants ^Quarterly^","15 K","2025-01","14.4%","18%^Q/Q^","GREEN","-15.7%^Y/Y^","RED"
