"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$71.3^Billion^","2024","2.9%",NA,NA,"1.1%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$2.2^Billion^","2025-08","3.2%","3.7%^M/M^","GREEN","0.1%^Y/Y^","GREEN"
"4","Exports ^Monthly^","$1.4^Billion^","2025-08","2.5%","0.6%^M/M^","GREEN","-12.7%^Y/Y^","RED"
"5","Active businesses^Total number^","29 K","2025-07","3.1%","-0.1%^M/M^","RED","0.6%^Y/Y^","GREEN"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","0.7^Million jobs^","2025-09","3.5%","0.5%^M/M^","GREEN","1.3%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","6.2%","2025-09","7.1%^in Canada^","0.5 p.p.^M/M^","RED","0.5 p.p.^Y/Y^","RED"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","83.6%","2025-09","83.3%^in Canada^","0 p.p.^M/M^","YELLOW","-1.5 p.p.^Y/Y^","RED"
"10","Job vacancies ^Number of unfilled positions^","16 K^2.5 % of payroll employees^","2025-08","3.4%","-6.9%^M/M^","GREEN","-22.1%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1340","2025-09","$1581^in Canada^","-1.7%^M/M^","RED","2.8%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","2.9%^Y/Y^","2025-09","2.4%^in Canada^","0.1%^M/M^","RED",NA,NA
"13","New immigrants ^Quarterly^","4.8 K","2025-04","4.6%","-11.6%^Q/Q^","RED","-38.5%^Y/Y^","RED"
