"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$29.7^Billion^","2022","1.3%",NA,NA,"-1.5%^Y/Y^","RED"
"3","Manufacturing sales ^Monthly^","$0.3^Billion^","2024-02","0.4%","7.3%^M/M^","GREEN","-5.4%^Y/Y^","RED"
"4","Exports ^Monthly^","$1.1^Billion^","2023-09","1.9%","5.6%^M/M^","GREEN","-11.5%^Y/Y^","RED"
"5","Active businesses^Total number^","12 K","2023-12","1.3%","-2.3%^M/M^","RED","-2.1%^Y/Y^","RED"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","0.2^Million jobs^","2024-03","1.2%","0%^M/M^","YELLOW","2.8%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","10.1%","2024-03","6.1%^in Canada^","-0.1 p.p.^M/M^","GREEN","-0.3 p.p.^Y/Y^","GREEN"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","81.3%","2024-03","84.2%^in Canada^","-0.4 p.p.^M/M^","RED","0.1 p.p.^Y/Y^","GREEN"
"10","Job vacancies ^Number of unfilled positions^","6 K^2.9 % of payroll employees^","2024-02","1%","-15%^M/M^","GREEN","-6.9%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1440","2024-03","$1507^in Canada^","-0.6%^M/M^","RED","2.4%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","3.1%^Y/Y^","2024-03","2.9%^in Canada^","0.8%^M/M^","RED",NA,NA
"13","New immigrants ^Quarterly^","1.3 K","2023-10","1.3%","21.2%^Q/Q^","GREEN","18%^Y/Y^","GREEN"
