"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$852.7^Billion^","2023","36.7%",NA,NA,"1.6%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$31.3^Billion^","2024-05","43.9%","0.5%^M/M^","GREEN","-6.3%^Y/Y^","RED"
"4","Exports ^Monthly^","$20.9^Billion^","2023-09","35.3%","-4.3%^M/M^","RED","7.3%^Y/Y^","GREEN"
"5","Active businesses^Total number^","361 K","2024-03","38.5%","-0.2%^M/M^","RED","0.3%^Y/Y^","GREEN"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","8.1^Million jobs^","2024-06","39.3%","0.1%^M/M^","GREEN","1.4%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","7%","2024-06","6.4%^in Canada^","0.3 p.p.^M/M^","RED","1.3 p.p.^Y/Y^","RED"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","83%","2024-06","83.6%^in Canada^","-0.4 p.p.^M/M^","RED","-1.6 p.p.^Y/Y^","RED"
"10","Job vacancies ^Number of unfilled positions^","201 K^2.9 % of payroll employees^","2024-04","34.9%","-6.5%^M/M^","GREEN","-26.8%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1566","2024-06","$1522^in Canada^","0.6%^M/M^","GREEN","4.7%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","3%^Y/Y^","2024-05","2.9%^in Canada^","0.6%^M/M^","RED",NA,NA
"13","New immigrants ^Quarterly^","52.8 K","2024-01","43.3%","20.2%^Q/Q^","GREEN","-13.2%^Y/Y^","RED"
