"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$7.3^Billion^","2023","0.3%",NA,NA,"2.2%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$0.3^Billion^","2024-07","0.4%","5.6%^M/M^","GREEN","14.5%^Y/Y^","GREEN"
"4","Exports ^Monthly^","$0.2^Billion^","2023-09","0.3%","-2.9%^M/M^","RED","-3.5%^Y/Y^","RED"
"5","Active businesses^Total number^","4 K","2024-06","0.4%","-1.7%^M/M^","RED","-1.9%^Y/Y^","RED"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","0.1^Million jobs^","2024-08","0.5%","1%^M/M^","GREEN","2.9%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","8.2%","2024-08","6.6%^in Canada^","-0.7 p.p.^M/M^","GREEN","0.3 p.p.^Y/Y^","RED"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","83.6%","2024-08","83.6%^in Canada^","1.8 p.p.^M/M^","GREEN","-0.4 p.p.^Y/Y^","RED"
"10","Job vacancies ^Number of unfilled positions^","2 K^3.2 % of payroll employees^","2024-07","0.4%","-10.6%^M/M^","GREEN","-3.1%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1288","2024-08","$1538^in Canada^","-1.1%^M/M^","RED","5.5%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","1.2%^Y/Y^","2024-08","2%^in Canada^","-0.2%^M/M^","GREEN",NA,NA
"13","New immigrants ^Quarterly^","1.2 K","2024-04","0.9%","-12.1%^Q/Q^","RED","68.4%^Y/Y^","GREEN"
