"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$80.5^Billion^","2024","3.4%",NA,NA,"3.4%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$1.7^Billion^","2025-04","2.4%","-3.1%^M/M^","RED","-16.1%^Y/Y^","RED"
"4","Exports ^Monthly^","$3.7^Billion^","2025-04","6.6%","-0.6%^M/M^","RED","-3.3%^Y/Y^","RED"
"5","Active businesses^Total number^","25 K","2025-02","2.7%","-0.2%^M/M^","RED","-0.3%^Y/Y^","RED"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","0.6^Million jobs^","2025-05","2.9%","0.2%^M/M^","GREEN","2.6%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","4.2%","2025-05","7%^in Canada^","-0.1 p.p.^M/M^","GREEN","-1.2 p.p.^Y/Y^","GREEN"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","85.3%","2025-05","83.1%^in Canada^","-0.3 p.p.^M/M^","RED","-0.1 p.p.^Y/Y^","RED"
"10","Job vacancies ^Number of unfilled positions^","15 K^2.9 % of payroll employees^","2025-03","2.9%","-3.6%^M/M^","GREEN","-19%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1470","2025-05","$1562^in Canada^","0.7%^M/M^","GREEN","2.3%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","1.9%^Y/Y^","2025-04","1.7%^in Canada^","-0.1%^M/M^","GREEN",NA,NA
"13","New immigrants ^Quarterly^","4.1 K","2024-10","4%","-32%^Q/Q^","RED","-20%^Y/Y^","RED"
