"","Date","Active_Businesses"
"1",2015-01-01,870370
"2",2015-02-01,872284
"3",2015-03-01,874219
"4",2015-04-01,874952
"5",2015-05-01,877852
"6",2015-06-01,876472
"7",2015-07-01,879074
"8",2015-08-01,880751
"9",2015-09-01,878845
"10",2015-10-01,880223
"11",2015-11-01,880983
"12",2015-12-01,878657
"13",2016-01-01,890704
"14",2016-02-01,880061
"15",2016-03-01,879543
"16",2016-04-01,882222
"17",2016-05-01,881275
"18",2016-06-01,881435
"19",2016-07-01,881130
"20",2016-08-01,881013
"21",2016-09-01,880458
"22",2016-10-01,880917
"23",2016-11-01,881351
"24",2016-12-01,884008
"25",2017-01-01,886321
"26",2017-02-01,889164
"27",2017-03-01,884159
"28",2017-04-01,885777
"29",2017-05-01,888979
"30",2017-06-01,892665
"31",2017-07-01,888679
"32",2017-08-01,890786
"33",2017-09-01,893242
"34",2017-10-01,891830
"35",2017-11-01,892750
"36",2017-12-01,892488
"37",2018-01-01,893309
"38",2018-02-01,895368
"39",2018-03-01,896278
"40",2018-04-01,897674
"41",2018-05-01,894770
"42",2018-06-01,900107
"43",2018-07-01,900122
"44",2018-08-01,897603
"45",2018-09-01,898631
"46",2018-10-01,899507
"47",2018-11-01,899265
"48",2018-12-01,899577
"49",2019-01-01,899186
"50",2019-02-01,900635
"51",2019-03-01,903275
"52",2019-04-01,904653
"53",2019-05-01,906396
"54",2019-06-01,906969
"55",2019-07-01,907952
"56",2019-08-01,909079
"57",2019-09-01,907700
"58",2019-10-01,906808
"59",2019-11-01,905171
"60",2019-12-01,906950
"61",2020-01-01,904415
"62",2020-02-01,903309
"63",2020-03-01,873669
"64",2020-04-01,816341
"65",2020-05-01,793709
"66",2020-06-01,799899
"67",2020-07-01,821162
"68",2020-08-01,836777
"69",2020-09-01,852422
"70",2020-10-01,862346
"71",2020-11-01,863887
"72",2020-12-01,878658
"73",2021-01-01,883139
"74",2021-02-01,887914
"75",2021-03-01,893185
"76",2021-04-01,892812
"77",2021-05-01,894336
"78",2021-06-01,893324
"79",2021-07-01,901402
"80",2021-08-01,903409
"81",2021-09-01,904782
"82",2021-10-01,908889
"83",2021-11-01,911903
"84",2021-12-01,914028
"85",2022-01-01,918742
"86",2022-02-01,920447
"87",2022-03-01,922222
"88",2022-04-01,925436
"89",2022-05-01,927367
"90",2022-06-01,927143
"91",2022-07-01,927603
"92",2022-08-01,927703
"93",2022-09-01,928201
"94",2022-10-01,927850
"95",2022-11-01,928063
"96",2022-12-01,930756
"97",2023-01-01,935382
"98",2023-02-01,933930
