"","Date","export"
"1",2000-01-01,33814100000
"2",2000-02-01,33237200000
"3",2000-03-01,34600500000
"4",2000-04-01,33762300000
"5",2000-05-01,35656900000
"6",2000-06-01,36611700000
"7",2000-07-01,35763600000
"8",2000-08-01,36092400000
"9",2000-09-01,36367500000
"10",2000-10-01,36939100000
"11",2000-11-01,37041300000
"12",2000-12-01,38118200000
"13",2001-01-01,38967400000
"14",2001-02-01,35953900000
"15",2001-03-01,36814100000
"16",2001-04-01,36608200000
"17",2001-05-01,36171900000
"18",2001-06-01,3.5002e+10
"19",2001-07-01,34110800000
"20",2001-08-01,33948200000
"21",2001-09-01,33098400000
"22",2001-10-01,32249100000
"23",2001-11-01,33765400000
"24",2001-12-01,32413400000
"25",2002-01-01,33629300000
"26",2002-02-01,34197800000
"27",2002-03-01,32879300000
"28",2002-04-01,3.4784e+10
"29",2002-05-01,34267100000
"30",2002-06-01,32836300000
"31",2002-07-01,34824700000
"32",2002-08-01,34884600000
"33",2002-09-01,34943700000
"34",2002-10-01,35849600000
"35",2002-11-01,34777400000
"36",2002-12-01,34250300000
"37",2003-01-01,35107500000
"38",2003-02-01,34985400000
"39",2003-03-01,35442900000
"40",2003-04-01,33043400000
"41",2003-05-01,3.2036e+10
"42",2003-06-01,31302400000
"43",2003-07-01,32529300000
"44",2003-08-01,31355400000
"45",2003-09-01,33324500000
"46",2003-10-01,3.2516e+10
"47",2003-11-01,32603200000
"48",2003-12-01,3.3027e+10
"49",2004-01-01,31969600000
"50",2004-02-01,34209800000
"51",2004-03-01,34563500000
"52",2004-04-01,35893500000
"53",2004-05-01,3.6811e+10
"54",2004-06-01,38055900000
"55",2004-07-01,37355200000
"56",2004-08-01,36910100000
"57",2004-09-01,35799800000
"58",2004-10-01,35768400000
"59",2004-11-01,34847100000
"60",2004-12-01,35054300000
"61",2005-01-01,35409300000
"62",2005-02-01,35899200000
"63",2005-03-01,35639400000
"64",2005-04-01,36231200000
"65",2005-05-01,36407800000
"66",2005-06-01,36418600000
"67",2005-07-01,36648100000
"68",2005-08-01,37774100000
"69",2005-09-01,38845700000
"70",2005-10-01,40192800000
"71",2005-11-01,39104400000
"72",2005-12-01,39847700000
"73",2006-01-01,39048200000
"74",2006-02-01,36822700000
"75",2006-03-01,36858200000
"76",2006-04-01,37356400000
"77",2006-05-01,36903900000
"78",2006-06-01,37467500000
"79",2006-07-01,37717200000
"80",2006-08-01,37830500000
"81",2006-09-01,37486900000
"82",2006-10-01,36445300000
"83",2006-11-01,37719900000
"84",2006-12-01,40314800000
"85",2007-01-01,39597400000
"86",2007-02-01,38937500000
"87",2007-03-01,40410300000
"88",2007-04-01,4.063e+10
"89",2007-05-01,39829300000
"90",2007-06-01,3.8524e+10
"91",2007-07-01,37964200000
"92",2007-08-01,38072300000
"93",2007-09-01,37099400000
"94",2007-10-01,36637500000
"95",2007-11-01,37639900000
"96",2007-12-01,36043400000
"97",2008-01-01,37621300000
"98",2008-02-01,3.9004e+10
"99",2008-03-01,40134200000
"100",2008-04-01,40857400000
"101",2008-05-01,43027600000
"102",2008-06-01,43670600000
"103",2008-07-01,44538300000
"104",2008-08-01,4.2935e+10
"105",2008-09-01,41756500000
"106",2008-10-01,41651300000
"107",2008-11-01,38287600000
"108",2008-12-01,33777800000
"109",2009-01-01,30555500000
"110",2009-02-01,32360800000
"111",2009-03-01,32056500000
"112",2009-04-01,30337100000
"113",2009-05-01,27820900000
