"","Indicateurs","Valeur","Date","Contribution au Canada","Variations récentes","ColorMoM","","ColorYoY"
"1","Economie",NA,NA,NA,NA,NA,NA,NA
"2","Produit intérieur brut (PIB) réel
^Sur une base annuelle et ajusté en fonction de l'inflation^","353,3^Milliards de $^","2024","14,4 %",NA,NA," 2,7 %^A/A^","GREEN"
"3","Ventes manufacturières ^Données mensuelles^","8,8^Milliards de $^","2025-10","12,3 %"," -1,1 %^M/M^","RED","  0,2 %^A/A^","GREEN"
"4","Exportations ^Données mensuelles^","14,4^Milliards de $^","2025-09","23,9 %","  3,5 %^M/M^","GREEN"," -4,5 %^A/A^","RED"
"5","Entreprises actives","123 K","2025-08","13,1 %"," 0,0 %^M/M^","YELLOW","  0,9 %^A/A^","GREEN"
"6","Marché de l'emploi",NA,NA,NA,NA,NA,NA,NA
"7","Emplois totaux ^Population avec un emploi^","2,6^Millions d'emplois^","2025-11","12,5 %","  1,1 %^M/M^","GREEN","  4,2 %^A/A^","GREEN"
"8","Taux de chômage ^% de la population active sans emploi^"," 6,5 %","2025-11","6,5 %^au Canada^","-1,3 p.p.^M/M^","GREEN","-1,1 p.p.^A/A^","GREEN"
"9","Taux d'emploi ^% de la population avec un emploi (25 - 54 ans)^","84,1 %","2025-11","83,4 %^au Canada^"," 1,0 p.p.^M/M^","GREEN","  1,1 p.p.^A/A^","GREEN"
"10","Postes vacants ^Nombre de postes non-comblés^","59 K^2,7 % des employés^","2025-09","12,1 %","  2,0 %^M/M^","RED","-20,1 %^A/A^","GREEN"
"11","Salaire hebdomadaire moyen ^Travailleurs à temps plein (25 - 54 ans)^","1 672$","2025-11","1 586 $^au Canada^","-1,2 %^M/M^","RED"," 2,6 %^A/A^","GREEN"
"12","Inflation ^Variations de l'Indice des prix à la consommation (IPC)^"," 1,9 %^A/A^","2025-11","2,2 %^au Canada^"," 0,1 %^M/M^","RED",NA,NA
"13","Nouveaux immigrants ^Données trimestrielles^","12,6 K","2025-04","12,2 %"," -7,4 %^T/T^","RED","-33,7 %^A/A^","RED"
