"","Indicateurs","Valeur","Date","Contribution au Canada","Variations récentes","ColorMoM","","ColorYoY"
"1","Economie",NA,NA,NA,NA,NA,NA,NA
"2","Produit intérieur brut (PIB) réel
^Sur une base annuelle et ajusté en fonction de l'inflation^","7,3^Milliards de $^","2023","0,3 %",NA,NA," 2,2 %^A/A^","GREEN"
"3","Ventes manufacturières ^Données mensuelles^","0,3^Milliards de $^","2024-04","0,4 %"," 13,7 %^M/M^","GREEN"," 17,5 %^A/A^","GREEN"
"4","Exportations ^Données mensuelles^","0,2^Milliards de $^","2023-09","0,3 %"," -2,9 %^M/M^","RED"," -3,5 %^A/A^","RED"
"5","Entreprises actives","4 K","2024-03","0,4 %","-0,1 %^M/M^","RED"," -0,2 %^A/A^","RED"
"6","Marché de l'emploi",NA,NA,NA,NA,NA,NA,NA
"7","Emplois totaux ^Population avec un emploi^","0,1^Millions d'emplois^","2024-05","0,4 %","-1,2 %^M/M^","RED","  2,7 %^A/A^","GREEN"
"8","Taux de chômage ^% de la population active sans emploi^"," 7,1 %","2024-05","6,2 %^au Canada^"," 0,3 p.p.^M/M^","RED","-0,1 p.p.^A/A^","GREEN"
"9","Taux d'emploi ^% de la population avec un emploi (25 - 54 ans)^","84,3 %","2024-05","83,9 %^au Canada^"," 0,3 p.p.^M/M^","GREEN"," 0,5 p.p.^A/A^","GREEN"
"10","Postes vacants ^Nombre de postes non-comblés^","2 K^2,4 % des employés^","2024-04","0,3 %","-37,2 %^M/M^","GREEN","-49,3 %^A/A^","GREEN"
"11","Salaire hebdomadaire moyen ^Travailleurs à temps plein (25 - 54 ans)^","1 257$","2024-05","1 519 $^au Canada^","-1,0 %^M/M^","RED"," 1,3 %^A/A^","GREEN"
"12","Inflation ^Variations de l'Indice des prix à la consommation (IPC)^"," 3,2 %^A/A^","2024-05","2,9 %^au Canada^"," 0,3 %^M/M^","RED",NA,NA
"13","Nouveaux immigrants ^Données trimestrielles^","1,3 K","2024-01","1,1 %"," 61,2 %^T/T^","GREEN","  4,4 %^A/A^","GREEN"
