"","Indicateurs","Valeur","Date","Contribution au Canada","Variations récentes","ColorMoM","","ColorYoY"
"1","Economie",NA,NA,NA,NA,NA,NA,NA
"2","Produit intérieur brut (PIB) réel
^Sur une base annuelle et ajusté en fonction de l'inflation^","71,3^Milliards de $^","2024","2,9 %",NA,NA," 1,1 %^A/A^","GREEN"
"3","Ventes manufacturières ^Données mensuelles^","2,5^Milliards de $^","2025-10","3,5 %","  7,6 %^M/M^","GREEN"," 14,1 %^A/A^","GREEN"
"4","Exportations ^Données mensuelles^","1,4^Milliards de $^","2025-09","2,4 %","  5,5 %^M/M^","GREEN","-17,5 %^A/A^","RED"
"5","Entreprises actives","29 K","2025-08","3,1 %"," 0,1 %^M/M^","GREEN"," 0,7 %^A/A^","GREEN"
"6","Marché de l'emploi",NA,NA,NA,NA,NA,NA,NA
"7","Emplois totaux ^Population avec un emploi^","0,7^Millions d'emplois^","2025-11","3,5 %"," 0,6 %^M/M^","GREEN","  0,5 %^A/A^","GREEN"
"8","Taux de chômage ^% de la population active sans emploi^"," 6,1 %","2025-11","6,5 %^au Canada^"," 0,3 p.p.^M/M^","RED"," 0,2 p.p.^A/A^","RED"
"9","Taux d'emploi ^% de la population avec un emploi (25 - 54 ans)^","84,6 %","2025-11","83,4 %^au Canada^"," 0,6 p.p.^M/M^","GREEN","-0,9 p.p.^A/A^","RED"
"10","Postes vacants ^Nombre de postes non-comblés^","17 K^2,7 % des employés^","2025-09","3,5 %","  8,0 %^M/M^","RED","-13,7 %^A/A^","GREEN"
"11","Salaire hebdomadaire moyen ^Travailleurs à temps plein (25 - 54 ans)^","1 344$","2025-11","1 586 $^au Canada^","-1,0 %^M/M^","RED","-0,7 %^A/A^","RED"
"12","Inflation ^Variations de l'Indice des prix à la consommation (IPC)^"," 3,3 %^A/A^","2025-11","2,2 %^au Canada^"," 0,2 %^M/M^","RED",NA,NA
"13","Nouveaux immigrants ^Données trimestrielles^","4,8 K","2025-04","4,6 %","-11,6 %^T/T^","RED","-38,5 %^A/A^","RED"
