"","Indicateurs","Valeur","Date","Contribution au Canada","Variations récentes","ColorMoM","","ColorYoY"
"1","Economie",NA,NA,NA,NA,NA,NA,NA
"2","Produit intérieur brut (PIB) réel
^Sur une base annuelle et ajusté en fonction de l'inflation^","45,6^Milliards de $^","2024","1,9 %",NA,NA," 2,7 %^A/A^","GREEN"
"3","Ventes manufacturières ^Données mensuelles^","1,0^Milliards de $^","2025-09","1,5 %","  3,3 %^M/M^","GREEN"," -2,1 %^A/A^","RED"
"4","Exportations ^Données mensuelles^","0,5^Milliards de $^","2025-09","0,9 %","  4,4 %^M/M^","GREEN"," -0,4 %^A/A^","RED"
"5","Entreprises actives","21 K","2025-08","2,3 %"," 0,4 %^M/M^","GREEN","  1,2 %^A/A^","GREEN"
"6","Marché de l'emploi",NA,NA,NA,NA,NA,NA,NA
"7","Emplois totaux ^Population avec un emploi^","0,5^Millions d'emplois^","2025-11","2,5 %"," 0,5 %^M/M^","GREEN","  0,4 %^A/A^","GREEN"
"8","Taux de chômage ^% de la population active sans emploi^"," 6,7 %","2025-11","6,5 %^au Canada^"," 0,0 p.p.^M/M^","YELLOW"," 0,4 p.p.^A/A^","RED"
"9","Taux d'emploi ^% de la population avec un emploi (25 - 54 ans)^","81,1 %","2025-11","83,4 %^au Canada^"," 0,1 p.p.^M/M^","GREEN","-1,8 p.p.^A/A^","RED"
"10","Postes vacants ^Nombre de postes non-comblés^","14 K^3,1 % des employés^","2025-09","3 %"," -0,1 %^M/M^","GREEN","  2,8 %^A/A^","RED"
"11","Salaire hebdomadaire moyen ^Travailleurs à temps plein (25 - 54 ans)^","1 420$","2025-11","1 586 $^au Canada^"," 1,2 %^M/M^","GREEN"," 6,1 %^A/A^","GREEN"
"12","Inflation ^Variations de l'Indice des prix à la consommation (IPC)^"," 2,6 %^A/A^","2025-10","2,2 %^au Canada^"," 0,1 %^M/M^","RED",NA,NA
"13","Nouveaux immigrants ^Données trimestrielles^","2,2 K","2025-04","2,1 %","-22,6 %^T/T^","RED","-49,1 %^A/A^","RED"
