"","Indicateurs","Valeur","Date","Contribution au Canada","Variations récentes","ColorMoM","","ColorYoY"
"1","Economie",NA,NA,NA,NA,NA,NA,NA
"2","Produit intérieur brut (PIB) réel
^Sur une base annuelle et ajusté en fonction de l'inflation^","442,9^Milliards de $^","2024","18,6 %",NA,NA," 1,3 %^A/A^","GREEN"
"3","Ventes manufacturières ^Données mensuelles^","18,4^Milliards de $^","2025-07","26,2 %","  3,4 %^M/M^","GREEN","  0,2 %^A/A^","GREEN"
"4","Exportations ^Données mensuelles^"," 8,2^Milliards de $^","2025-08","15,3 %"," -4,3 %^M/M^","RED","-12,5 %^A/A^","RED"
"5","Entreprises actives","202 K","2025-06","21,5 %"," 0,0 %^M/M^","YELLOW","  0,4 %^A/A^","GREEN"
"6","Marché de l'emploi",NA,NA,NA,NA,NA,NA,NA
"7","Emplois totaux ^Population avec un emploi^","4,6^Millions d'emplois^","2025-08","22,2 %","  0,2 %^M/M^","GREEN","  1,9 %^A/A^","GREEN"
"8","Taux de chômage ^% de la population active sans emploi^"," 6,0 %","2025-08","7,1 %^au Canada^"," 0,5 p.p.^M/M^","RED","  0,3 p.p.^A/A^","RED"
"9","Taux d'emploi ^% de la population avec un emploi (25 - 54 ans)^","85,7 %","2025-08","82,7 %^au Canada^","-0,6 p.p.^M/M^","RED"," -0,1 p.p.^A/A^","RED"
"10","Postes vacants ^Nombre de postes non-comblés^","105 K^2,6 % des employés^","2025-07","22,2 %"," -4,9 %^M/M^","GREEN","-13,5 %^A/A^","GREEN"
"11","Salaire hebdomadaire moyen ^Travailleurs à temps plein (25 - 54 ans)^","1 482$","2025-08","1 583 $^au Canada^"," 0,9 %^M/M^","GREEN"," 3,4 %^A/A^","GREEN"
"12","Inflation ^Variations de l'Indice des prix à la consommation (IPC)^"," 2,7 %^A/A^","2025-08","1,9 %^au Canada^"," 0,2 %^M/M^","RED",NA,NA
"13","Nouveaux immigrants ^Données trimestrielles^","18,9 K","2025-04","18,3 %"," 97,4 %^T/T^","GREEN"," 11,6 %^A/A^","GREEN"
