"","Indicateurs","Valeur","Date","Contribution au Canada","Variations récentes","ColorMoM","","ColorYoY"
"1","Economie",NA,NA,NA,NA,NA,NA,NA
"2","Produit intérieur brut (PIB) réel
^Sur une base annuelle et ajusté en fonction de l'inflation^","80,5^Milliards de $^","2024","3,4 %",NA,NA," 3,4 %^A/A^","GREEN"
"3","Ventes manufacturières ^Données mensuelles^","1,7^Milliards de $^","2025-03","2,4 %"," -1,0 %^M/M^","RED"," -4,6 %^A/A^","RED"
"4","Exportations ^Données mensuelles^","3,7^Milliards de $^","2025-03","5,6 %","  8,8 %^M/M^","GREEN"," -0,2 %^A/A^","RED"
"5","Entreprises actives","25 K","2025-02","2,7 %","-0,2 %^M/M^","RED"," -0,3 %^A/A^","RED"
"6","Marché de l'emploi",NA,NA,NA,NA,NA,NA,NA
"7","Emplois totaux ^Population avec un emploi^","0,6^Millions d'emplois^","2025-04","2,9 %","  0,4 %^M/M^","GREEN","  3,3 %^A/A^","GREEN"
"8","Taux de chômage ^% de la population active sans emploi^"," 4,3 %","2025-04","6,9 %^au Canada^","-0,6 p.p.^M/M^","GREEN","-1,2 p.p.^A/A^","GREEN"
"9","Taux d'emploi ^% de la population avec un emploi (25 - 54 ans)^","85,6 %","2025-04","83,1 %^au Canada^"," 0,0 p.p.^M/M^","YELLOW"," 0,1 p.p.^A/A^","GREEN"
"10","Postes vacants ^Nombre de postes non-comblés^","15 K^2,9 % des employés^","2025-03","2,9 %"," -3,6 %^M/M^","GREEN","-19,0 %^A/A^","GREEN"
"11","Salaire hebdomadaire moyen ^Travailleurs à temps plein (25 - 54 ans)^","1 459$","2025-04","1 549 $^au Canada^","-1,5 %^M/M^","RED"," 1,1 %^A/A^","GREEN"
"12","Inflation ^Variations de l'Indice des prix à la consommation (IPC)^"," 1,9 %^A/A^","2025-04","1,7 %^au Canada^","-0,1 %^M/M^","GREEN",NA,NA
"13","Nouveaux immigrants ^Données trimestrielles^","4,1 K","2024-10","4 %","-32,0 %^T/T^","RED","-20,0 %^A/A^","RED"
