"","Provinces","Changements d'emplois ^M/M^","Changements d'emplois ^A/A^ ","Taux de chômage^2026-07^","Taux d'emploi ^25-54 ans^ ","Taux de postes vacants^2026-05^"
"1","Canada",0.355255751027683,0.934899587502325,0.064,0.839,0.028
"2","Alberta",-0.272662757255449,3.52849941837923,0.07,0.839,0.029
"3","Colombie-Britannique",0.606081242126044,0.0779027232082452,0.062,0.84,0.031
"4","Manitoba",0.786981459250358,1.90155091031692,0.05,0.858,0.03
"5","Nouveau-Brunswick",0.0492610837438345,-0.245579567779963,0.07,0.822,0.029
"6","Terre-Neuve-et-Labrador",-0.0820344544708806,-0.854700854700852,0.093,0.805,0.024
"7","Nouvelle-Écosse",0.862553909619357,2.35965746907707,0.062,0.836,0.025
"8","Ontario",0.623715701680161,1.31811155873083,0.068,0.827,0.025
"9","Île-du-Prince-Édouard",-0.621118012422361,3.33692142088267,0.068,0.86,0.026
"10","Québec",0.0151959188103845,-0.599784250269686,0.056,0.86,0.028
"11","Saskatchewan",0.405383492784184,-0.609951845906898,0.06,0.851,0.031
