"","Date","job_vacancy"
"1",2015-01-01,408125
"2",2015-04-01,451925
"3",2015-07-01,407865
"4",2015-10-01,358755
"5",2016-01-01,330215
"6",2016-04-01,391190
"7",2016-07-01,404860
"8",2016-10-01,381010
"9",2017-01-01,387080
"10",2017-04-01,459685
"11",2017-07-01,467395
"12",2017-10-01,469360
"13",2018-01-01,461845
"14",2018-04-01,546820
"15",2018-07-01,550670
"16",2018-10-01,547330
"17",2019-01-01,506140
"18",2019-04-01,581595
"19",2019-07-01,562910
"20",2019-10-01,508590
"21",2020-01-01,512760
"22",2020-10-01,560215
"23",2020-11-01,556570
"24",2020-12-01,479335
"25",2021-01-01,495540
"26",2021-02-01,537390
"27",2021-03-01,632075
"28",2021-04-01,693955
"29",2021-05-01,706345
"30",2021-06-01,797800
"31",2021-07-01,830450
"32",2021-08-01,919835
"33",2021-09-01,988655
"34",2021-10-01,964130
"35",2021-11-01,894550
"36",2021-12-01,878040
"37",2022-01-01,853450
"38",2022-02-01,833725
"39",2022-03-01,977565
"40",2022-04-01,1034280
"41",2022-05-01,1037195
"42",2022-06-01,1020615
"43",2022-07-01,999995
"44",2022-08-01,974450
"45",2022-09-01,987760
"46",2022-10-01,933845
"47",2022-11-01,854165
"48",2022-12-01,752325
"49",2023-01-01,788280
"50",2023-02-01,747720
"51",2023-03-01,790370
"52",2023-04-01,839950
"53",2023-05-01,812510
"54",2023-06-01,779410
"55",2023-07-01,742230
"56",2023-08-01,741875
"57",2023-09-01,693950
"58",2023-10-01,711930
"59",2023-11-01,656565
"60",2023-12-01,534525
"61",2024-01-01,600555
"62",2024-02-01,588470
"63",2024-03-01,595090
"64",2024-04-01,642810
"65",2024-05-01,616605
"66",2024-06-01,585620
"67",2024-07-01,563955
"68",2024-08-01,567725
"69",2024-09-01,565870
"70",2024-10-01,557710
"71",2024-11-01,525185
"72",2024-12-01,440185
"73",2025-01-01,467360
"74",2025-02-01,468905
"75",2025-03-01,519790
