"","Date","manufacturing"
"1",1992-01-01,22442286000
"2",1992-02-01,22849293000
"3",1992-03-01,22774067000
"4",1992-04-01,23079929000
"5",1992-05-01,23121861000
"6",1992-06-01,23599825000
"7",1992-07-01,23340012000
"8",1992-08-01,23485737000
"9",1992-09-01,23490141000
"10",1992-10-01,24093241000
"11",1992-11-01,23922194000
"12",1992-12-01,24319544000
"13",1993-01-01,24241579000
"14",1993-02-01,24701404000
"15",1993-03-01,25275823000
"16",1993-04-01,25063947000
"17",1993-05-01,24887270000
"18",1993-06-01,25026215000
"19",1993-07-01,24906836000
"20",1993-08-01,25565480000
"21",1993-09-01,26324156000
"22",1993-10-01,26066988000
"23",1993-11-01,26152970000
"24",1993-12-01,25730287000
"25",1994-01-01,26155881000
"26",1994-02-01,26116488000
"27",1994-03-01,27494286000
"28",1994-04-01,27802324000
"29",1994-05-01,28539814000
"30",1994-06-01,28966828000
"31",1994-07-01,29025987000
"32",1994-08-01,29898969000
"33",1994-09-01,29782583000
"34",1994-10-01,30233666000
"35",1994-11-01,31195021000
"36",1994-12-01,31728937000
"37",1995-01-01,33247478000
"38",1995-02-01,32420744000
"39",1995-03-01,32366933000
"40",1995-04-01,32089682000
"41",1995-05-01,32459683000
"42",1995-06-01,32311648000
"43",1995-07-01,31604624000
"44",1995-08-01,33195220000
"45",1995-09-01,32722848000
"46",1995-10-01,32367181000
"47",1995-11-01,32478154000
"48",1995-12-01,32515209000
"49",1996-01-01,32777959000
"50",1996-02-01,32438916000
"51",1996-03-01,31731444000
"52",1996-04-01,32659296000
"53",1996-05-01,33364647000
"54",1996-06-01,33452496000
"55",1996-07-01,34215402000
"56",1996-08-01,33893053000
"57",1996-09-01,34298573000
"58",1996-10-01,33170816000
"59",1996-11-01,34185020000
"60",1996-12-01,33897396000
"61",1997-01-01,34774786000
"62",1997-02-01,34653594000
"63",1997-03-01,34298272000
"64",1997-04-01,35239523000
"65",1997-05-01,35353916000
"66",1997-06-01,35114636000
"67",1997-07-01,37137153000
"68",1997-08-01,35396652000
"69",1997-09-01,35914509000
"70",1997-10-01,35914716000
