"","Date","retail"
"1",2000-01-01,23434451000
"2",2000-02-01,23378327000
"3",2000-03-01,23813646000
"4",2000-04-01,23537859000
"5",2000-05-01,23644020000
"6",2000-06-01,23841011000
"7",2000-07-01,24204193000
"8",2000-08-01,24266358000
"9",2000-09-01,24495699000
"10",2000-10-01,24330740000
"11",2000-11-01,24373656000
"12",2000-12-01,24518477000
"13",2001-01-01,24640517000
"14",2001-02-01,24477976000
"15",2001-03-01,24583988000
"16",2001-04-01,24944482000
"17",2001-05-01,25143416000
"18",2001-06-01,25190078000
"19",2001-07-01,24813831000
"20",2001-08-01,25017925000
"21",2001-09-01,24703734000
"22",2001-10-01,25149772000
"23",2001-11-01,25657476000
"24",2001-12-01,26124705000
"25",2002-01-01,26496729000
"26",2002-02-01,26105990000
"27",2002-03-01,26072633000
"28",2002-04-01,26657565000
"29",2002-05-01,26165998000
"30",2002-06-01,26768924000
"31",2002-07-01,26620588000
"32",2002-08-01,26767279000
"33",2002-09-01,26620259000
"34",2002-10-01,27061844000
"35",2002-11-01,27015215000
"36",2002-12-01,27172388000
"37",2003-01-01,27137545000
"38",2003-02-01,27622538000
"39",2003-03-01,27275170000
"40",2003-04-01,27176306000
"41",2003-05-01,27484615000
"42",2003-06-01,27569750000
"43",2003-07-01,27707861000
"44",2003-08-01,28020755000
"45",2003-09-01,27841344000
"46",2003-10-01,27825024000
"47",2003-11-01,27777531000
"48",2003-12-01,27704978000
"49",2004-01-01,27935993000
"50",2004-02-01,28719948000
"51",2004-03-01,28689514000
"52",2004-04-01,28254086000
"53",2004-05-01,28554094000
"54",2004-06-01,28550528000
"55",2004-07-01,28616168000
"56",2004-08-01,28836665000
"57",2004-09-01,29243662000
"58",2004-10-01,29561177000
"59",2004-11-01,29901036000
"60",2004-12-01,29593609000
"61",2005-01-01,29888781000
"62",2005-02-01,30460620000
"63",2005-03-01,30006264000
"64",2005-04-01,29940271000
"65",2005-05-01,29935878000
"66",2005-06-01,30590992000
"67",2005-07-01,30800241000
"68",2005-08-01,30647393000
"69",2005-09-01,30600008000
"70",2005-10-01,30887481000
"71",2005-11-01,31012789000
"72",2005-12-01,31230056000
"73",2006-01-01,31747679000
"74",2006-02-01,31744450000
"75",2006-03-01,31871717000
"76",2006-04-01,32354405000
"77",2006-05-01,32048264000
"78",2006-06-01,32242363000
"79",2006-07-01,33040218000
"80",2006-08-01,33007575000
"81",2006-09-01,32492838000
"82",2006-10-01,32595465000
"83",2006-11-01,32814138000
"84",2006-12-01,33515367000
"85",2007-01-01,33221023000
"86",2007-02-01,33466188000
"87",2007-03-01,33910296000
"88",2007-04-01,34385868000
"89",2007-05-01,34789277000
"90",2007-06-01,34436278000
"91",2007-07-01,34430726000
"92",2007-08-01,34725483000
"93",2007-09-01,34341226000
"94",2007-10-01,34305870000
"95",2007-11-01,34958995000
"96",2007-12-01,35625285000
"97",2008-01-01,35933156000
"98",2008-02-01,35526909000
"99",2008-03-01,35530142000
"100",2008-04-01,35914167000
"101",2008-05-01,36006888000
"102",2008-06-01,36400129000
"103",2008-07-01,36403867000
"104",2008-08-01,36137537000
"105",2008-09-01,36390521000
"106",2008-10-01,35747571000
"107",2008-11-01,34661690000
"108",2008-12-01,33303365000
"109",2009-01-01,33790507000
"110",2009-02-01,33861903000
"111",2009-03-01,33838239000
"112",2009-04-01,33932693000
"113",2009-05-01,34366762000
"114",2009-06-01,34752611000
"115",2009-07-01,34734947000
"116",2009-08-01,34958551000
"117",2009-09-01,35271163000
"118",2009-10-01,35442041000
"119",2009-11-01,35094920000
"120",2009-12-01,35671435000
"121",2010-01-01,36091102000
"122",2010-02-01,36048207000
"123",2010-03-01,36872345000
"124",2010-04-01,36394220000
"125",2010-05-01,36050622000
"126",2010-06-01,36308653000
"127",2010-07-01,36357428000
"128",2010-08-01,36453361000
"129",2010-09-01,36569715000
"130",2010-10-01,36837126000
"131",2010-11-01,37538580000
"132",2010-12-01,37436674000
"133",2011-01-01,37311614000
"134",2011-02-01,37417919000
"135",2011-03-01,37624315000
"136",2011-04-01,37883034000
"137",2011-05-01,37736236000
"138",2011-06-01,38120856000
"139",2011-07-01,37897036000
"140",2011-08-01,38004303000
"141",2011-09-01,38283380000
"142",2011-10-01,38583801000
"143",2011-11-01,38694229000
"144",2011-12-01,39173620000
"145",2012-01-01,38958802000
"146",2012-02-01,38861395000
"147",2012-03-01,39198162000
"148",2012-04-01,38843751000
"149",2012-05-01,38791914000
"150",2012-06-01,38764063000
"151",2012-07-01,38857340000
"152",2012-08-01,38946468000
"153",2012-09-01,39061424000
"154",2012-10-01,39237267000
"155",2012-11-01,39203945000
"156",2012-12-01,39075859000
"157",2013-01-01,39520274000
"158",2013-02-01,39773650000
"159",2013-03-01,39905175000
"160",2013-04-01,39719107000
"161",2013-05-01,40395039000
"162",2013-06-01,40100664000
"163",2013-07-01,40573313000
"164",2013-08-01,40890989000
"165",2013-09-01,40785782000
"166",2013-10-01,40918659000
"167",2013-11-01,40931618000
"168",2013-12-01,40959258000
"169",2014-01-01,41355487000
"170",2014-02-01,41682461000
"171",2014-03-01,41587638000
"172",2014-04-01,42080184000
"173",2014-05-01,42196608000
"174",2014-06-01,42686363000
"175",2014-07-01,42909594000
"176",2014-08-01,42833664000
"177",2014-09-01,43065604000
"178",2014-10-01,43041965000
"179",2014-11-01,42919754000
"180",2014-12-01,42988092000
"181",2015-01-01,41539132000
"182",2015-02-01,42395758000
"183",2015-03-01,42908167000
"184",2015-04-01,42961463000
"185",2015-05-01,43268403000
"186",2015-06-01,43688409000
"187",2015-07-01,44032725000
"188",2015-08-01,44211643000
"189",2015-09-01,44210057000
"190",2015-10-01,44158745000
"191",2015-11-01,44640122000
"192",2015-12-01,44590158000
"193",2016-01-01,45148997000
"194",2016-02-01,45498470000
