"","provinces","Job variations ^M/M^","Job variations ^Y/Y^","Unemployment rate^2026-04^","Employment rate ^25-54 years old^","Job vacancy rate^2026-03^"
"1","Canada",-0.0840799186752395,0.319554340931094,6.9,83.2,2.8
"2","Alberta",0.0376562735351804,3.47030185004868,7,84,2.9
"3","British Colombia",-0.147857781445571,-1.51597368242555,6.8,82.5,3.3
"4","Manitoba",-0.213077640165138,1.65513498846832,5,84.3,2.7
"5","New Brunswick",-0.656455142231949,1.94610778443114,7.2,82.3,2.6
"6","Newfoundland and Labrador",-2.08333333333334,-1.45161290322581,10,80.1,2.3
"7","Nova Scotia",0.132575757575748,2.40170443540579,6.3,83.9,2.9
"8","Ontario",0.516726585826577,0.662712360867013,7.5,82.3,2.5
"9","Prince Edward Island",-0.520833333333337,2.02991452991452,8,84.6,3.5
"10","Quebec",-0.936763083313497,-1.39540893233989,6.2,84.4,2.8
"11","Saskatchewan",-0.641128385959289,0.404923874311636,5.6,84.9,3.1
